name,length,starring,year,notes,recorded_bought,inserted,updated
8 1/2,,,,,0,5/13/2010 22:30,5/16/2010 19:23
300,,Gerard Butler,,,0,5/13/2010 22:30,6/1/2012 10:50
1776,,,,,0,5/13/2010 22:30,5/16/2010 19:23
1941,,John Belushi,,,0,5/13/2010 22:30,6/1/2012 10:53
10 Things I Hate About You,1:37,Heath Ledger,1999,,0,5/13/2010 22:30,1/8/2011 12:11
102 Dalmations,1:40,"Glenn Close, Gerard Depardiou",2000,,0,5/13/2010 22:30,6/1/2012 10:52
12 Rounds,1:48,John Cerna,2009,,0,5/13/2010 22:30,6/1/2012 11:38
17 Again,,"Matthew Perry, Zach Efron",,,0,5/13/2010 22:30,6/1/2012 10:49
27 dresses,1:19,"Kathryn Heigl, James Masden",2008,,0,5/13/2010 22:30,6/1/2012 11:36
28 days,1:43,"Sandra Bullock, Viggo Mortensen",2000,,0,5/13/2010 22:30,6/1/2012 11:37
3 Men and a Little Lady,,"Tom Selleck, Steve Gutenberg",,"N.Y.,U.K.",0,5/13/2010 22:30,6/1/2012 10:49
3:10 To Yuma,,"R.Crowe,  C.Bale",2007,,0,5/13/2010 22:30,12/30/2010 19:30
36 Hours,,James Garner,,,0,5/13/2010 22:30,6/1/2012 10:50
"39 Steps, The",,Robt. Donat,,Hitchcock's- ,0,5/13/2010 22:30,7/28/2011 15:25
48 hours,,E.Murphy,,,0,5/13/2010 22:30,12/30/2010 23:06
8 Heads in a Duffle Bag,1:35,Joe Pesci,1997,,0,5/13/2010 22:30,7/28/2011 15:35
88 Minutes,,,,,0,5/13/2010 22:30,5/16/2010 19:23
9/11: As It Happened,2:00,,2011,11-Sep,0,5/13/2010 22:30,11/10/2011 15:32
A Christmas Story,1:38,"Peter Billingsley, Darren McGavin",1983,Xmas,0,5/13/2010 22:30,11/14/2012 21:18
A Christmas Visitor,1:37,"Wm.Devane, Meredith Baxter",2002,Xmas,0,5/13/2010 22:30,5/31/2012 19:30
A Grandpa For Christmas,,"Ernest Borgnine,94",,Xmas,0,5/13/2010 22:30,12/30/2010 22:52
a hole in the head,,,,,0,5/13/2010 22:30,5/16/2010 19:23
A League of Their Own,,"Tom Hanks, Rosie O'Donnell",,,0,5/13/2010 22:30,6/1/2012 10:51
A Lion Named Christian,1:00,,,TV Doc,0,5/13/2010 22:30,1/1/2011 0:43
A Midsummer Night's Sex Comedy,,,,,0,5/13/2010 22:30,5/16/2010 19:23
A mighty Heart,,,,,0,5/13/2010 22:30,5/16/2010 19:23
